,Gunnlaugs saga Ormstungu,Breta sǫgur,Karls þáttr vesæla,Hróa þáttr heimska,Theta-fragment of Egils saga,Pamphilus saga,Kormáks saga according to AM 132 fol (Möðruvallabók),Bandamanna saga according to AM 132 fol (Möðruvallabók),Þiðriks saga af Bern (medieval text),Old Norwegian Homily Book,The Kringla fragment of Óláfs saga helga,A fragment of Landslǫg Magnúss Hákonarsonar,Hallfreðr saga vandraskald,Sveinka þáttr Steinarssonar,Valdimars saga,"Kristinréttir, Landslǫg Magnúss Hákonarsonar, Bǿjarlǫg Magnúss Hákonarsonar ok réttarbǿtr | Kristenrettar, 
                     Magnus Lagabøtes landslov, Magnus Lagabøtes bylov og rettarbøter",A fragment of Óláfs saga helga hin elzta,Barlaams ok Josaphats saga,Elíss saga ok Rósamundar,A fragment of Haralds saga harðráða in Heimskringla,Strengleikar,A fragment of Fagrskinna,Landslǫg Magnúss Hákonarsonar | Magnus Lagabøtes landslov,Birgitta Andersdotters bönbok,A fragment of Maríu saga,Codex Wormianus,Hrafns saga Sveinbjarnarsonar,A fragment of Brendanuss saga,Rögnvalldr ok Rauð,Hallfreðar saga according to AM 132 fol (Möðruvallabók),Codex Frisianus,"Kristinréttir, Bǿjarlǫg Magnúss Hákonarsonar ok réttarbǿtr | Kristenrettar, Magnus Lagabøtes bylov og rettarbøter",Bǿjarlǫg ok Farmannalǫg Magnúss Hákonarsonar | Magnus Lagabøtes bylov og farmannslov,"Ór lǽknisbók The fragment is unnamed, but Konráð Gíslason named his edition of the text
                    Úr læknisbók, which is published in Fire og fyrretyve for en stor deel forhen
                    utrykte prøver af oldnordisk sprog og literatur (1860)",A fragment of Hákonar saga Hákonarsonar,A fragment of Jóns saga helga,A fragment of Páls saga postula,Völuspá in Codex Regius,Eiríks saga víðförla,Thómass saga erkibiskups,Legenden om Barlaam och Josaphat,Codex Runicus,Droplaugasona saga according to AM 132 fol (Möðruvallabók),A fragment of Thómass saga erkibyskups,Landslǫg Magnúss Hákonarsonar ok Farmannalǫg | Magnus Lagabøtes landslov og Farmannslova,A fragment of Barlaams saga ok Jósafats,A fragment of Agǫtu saga,Zeta-fragment of Egils saga,"Various texts, including Eufemiavisorna","A fragment of Gregors saga páfa and 
                            Díalógar",A fragment of Flóress saga ok Blankiflúr,A fragment of Rimbegla,A fragment of Njáls saga,A fragment of Stjórn,A fragment of Karlamagnúss saga,Finnboga saga according to AM 132 fol (Möðruvallabók),Fóstbræðra saga according to AM 132 fol (Möðruvallabók),Vǫluspá in Hauksbók,Konungs skuggsjá,Trójumanna saga,Egils saga Skalla-Grímssonar in Wolfenbüttelbók,Alexanders saga,A fragment of Konungs skuggsjá,Reynistaðarbók,Landslǫg Magnúss Hákonarsonar and amendments (skipan) | Magnus Lagabøtes landslov og rettarbøter (skipan),Dámusta saga,Thómass saga erkibyskups,Two fragments of Njáls saga,Virgin Mary’s complaint,Óláfs saga ins helga (legendary version),Eiríks saga rauða,Stúfs þáttr Kattarsonar,Víga-Glúms saga according to AM 132 fol (Möðruvallabók),Ölkofra þáttur according to AM 132 fol (Möðruvallabók)
Gunnlaugs saga Ormstungu,0.0,0.6422065832729038,0.670949962386427,0.7874017363118906,0.6572514344364551,0.7224679736188153,0.7955065347588446,0.6750081144972186,0.6919302095968971,0.6787690576969282,0.8584124399236887,1.0,0.6744118718473564,0.8688119193359368,0.7562707949786204,1.0,0.6910808859193134,0.6297257967937191,1.0,0.8272180853591532,0.6784841128120571,0.8811507683852586,1.0,1.0,0.9215605499130642,1.0,0.6905472239641886,0.7461077510272838,0.7066635113878355,0.6794657803941441,0.6540785479290411,1.0,0.6753287563928425,0.7957802286301031,1.0,0.8170486090300465,0.7359273758844428,0.9033603438840965,0.7716953661745345,0.7367431460233456,0.9924937246853293,0.9948286362612795,0.747935283364723,1.0,1.0,0.8485650757087703,0.8872092872657645,0.682315944844392,0.9901954755249012,0.8497402614311992,0.8051242008100294,0.9987841685041033,1.0,0.9547269513300111,0.770177337449221,0.696201176931877,0.7067917065401299,1.0,0.8050956105286518,0.6916457226691186,0.5973463906918337,0.6150058689181552,0.7912380795583731,0.694846207765019,1.0,0.7313015188251825,1.0,1.0,0.9965628631592726,0.6759820495927,0.610786872417054,0.7730918048956508,0.657936922007675,0.7199376821199993
Breta sǫgur,0.6422065832729038,0.0,0.5175584152439232,0.7064979362010082,0.5867404704042417,0.6021747220103404,0.7165287088298966,0.5320334294108336,0.5164596751427255,0.4791350915495943,0.7950521026298196,1.0,0.5897517715744669,0.8038784753841761,0.6239828018134261,1.0,0.5432750688744975,0.41066335697339573,1.0,0.7553477322265223,0.4884301665551882,0.8291292706541573,1.0,1.0,0.8587229721775868,1.0,0.6021745620598594,0.6093154677291972,0.5777952402097348,0.5995694286293678,0.45430132482545604,1.0,0.49196564546525945,0.669873174670835,1.0,0.7222658883827481,0.567141858887903,0.8449763021471638,0.6609911204906311,0.5584662941866931,0.9901916836185879,0.9933360215447967,0.640906110341576,1.0,1.0,0.772794462488117,0.8418168871907811,0.5260429099273429,0.9875009938994723,0.7504655550518335,0.7407387797060256,0.998448091479617,1.0,0.9124443436790314,0.6299216450850977,0.5586212877413245,0.5514939779111918,1.0,0.6834169790414666,0.4778006046949054,0.39618008588721787,0.3410109006726958,0.6359826940543148,0.49406960073089967,1.0,0.5839260623978403,1.0,1.0,0.9951397888711221,0.4857597278613397,0.4542868359162596,0.7309994968534212,0.5104747495989559,0.608170093999939
Karls þáttr vesæla,0.670949962386427,0.5175584152439232,4.3298697960381105e-15,0.7106155908584084,0.6339446156319103,0.6568512695966686,0.7563076594420556,0.5813134298757662,0.5668185746278731,0.5567337438125228,0.795366275231812,1.0,0.6171307245595241,0.7772508433959225,0.6485185472889938,1.0,0.5426992841728078,0.506659569634902,1.0,0.741284078663413,0.5901611170455132,0.8600027289518878,1.0,1.0,0.8792705244209427,1.0,0.6610165020948149,0.662840382584233,0.5899576671814877,0.6323108923004445,0.5250987467902254,1.0,0.5601203506323182,0.7332207100744909,1.0,0.7540838901469322,0.6507236395454226,0.8798745830301046,0.6820399613803461,0.6272686143598329,0.9896619505747435,0.9935747190694479,0.6822493268654588,1.0,1.0,0.7928950580000468,0.8556922686106541,0.5929443513752186,0.9864805139839965,0.8049158568782534,0.7689538733243102,0.9978039565489502,1.0,0.9389322060070658,0.6746267264257984,0.6296194736127162,0.6229755029631878,1.0,0.740244952579956,0.5985817736449075,0.4647706617414602,0.4660170982110561,0.7243856803741607,0.6039646310149658,1.0,0.617991921958591,1.0,1.0,0.9953436648851284,0.5270926187225563,0.5176322235900954,0.6731644869466806,0.5770803350640669,0.6572467273987013
Hróa þáttr heimska,0.7874017363118906,0.7064979362010082,0.7106155908584084,0.0,0.7656577973605556,0.7601616071961368,0.8421490171866562,0.7272130622893729,0.7420467558881849,0.7185417972056907,0.8947826490069347,1.0,0.7656857504816282,0.8896062946621631,0.7868143212149621,1.0,0.750926978820089,0.6895058716424216,1.0,0.869610068426215,0.7439645536495767,0.9168007009493752,1.0,1.0,0.9308936992496532,1.0,0.7938214662780679,0.7898512820060188,0.7561750019563882,0.7723551177031186,0.7374498013158292,1.0,0.7290387922108044,0.8434742781378042,1.0,0.8566309566478707,0.7801826245649439,0.9190919061233482,0.8111151631075826,0.781961425895792,0.9929275999254181,0.9955886270611116,0.7778484837301518,1.0,1.0,0.866638518500744,0.9043248458442513,0.7556612686468043,0.9909303802436243,0.8799562853487805,0.8447579415245096,0.998813676459479,1.0,0.9617554146295594,0.8102084294133229,0.7670133848258371,0.7658492436111006,1.0,0.8389724837813636,0.7495497018059316,0.6859805323187449,0.6835777519410727,0.8237806588726434,0.7593965500746449,1.0,0.7728642157336297,1.0,1.0,0.9968343098091315,0.7340948341045304,0.7129408243716473,0.7969928174397373,0.7258194329852132,0.777999453212413
Theta-fragment of Egils saga,0.6572514344364551,0.5867404704042417,0.6339446156319103,0.7656577973605556,1.787459069646502e-14,0.6758134113725646,0.778793442710657,0.5733190713216384,0.6538672683916719,0.6225048257538972,0.8579444912648503,1.0,0.6779515647947496,0.8495985261211966,0.7274572708949867,1.0,0.6589293501183064,0.5595115244974584,1.0,0.8094363454802974,0.6224948055557273,0.8743996868969379,1.0,1.0,0.9025969377476226,1.0,0.7048369762056891,0.7092349375616578,0.6798359212522848,0.6887213301666484,0.5904921212878473,1.0,0.6219315567367523,0.7611901127016668,1.0,0.7977123055710769,0.6792726217183098,0.8891787914551423,0.7380207012232194,0.6852810056136712,0.9916441893396494,0.9940055522236775,0.7151452900738966,1.0,1.0,0.8295668670452324,0.873558538912437,0.479126415711729,0.9895117425688633,0.8179699321734571,0.7782459126964033,0.9991258739437187,1.0,0.9433902585421508,0.7343618651980307,0.6722238401073095,0.6680301273677252,1.0,0.7621943225567098,0.6447272763876126,0.3671961756903921,0.5431893409892399,0.7481440669310545,0.6517052490282035,1.0,0.7041730858869144,1.0,1.0,0.9955484180613142,0.6224856926056304,0.5600822183684344,0.7930882463395802,0.6205817983506302,0.6821882255653611
Pamphilus saga,0.7224679736188153,0.6021747220103404,0.6568512695966686,0.7601616071961368,0.6758134113725646,0.0,0.7978854269209104,0.6051496015263325,0.6540035022601631,0.5644616827357665,0.8893389851648543,1.0,0.702960074450734,0.8753219128644708,0.7239719403290941,1.0,0.7122339066972543,0.5033896550244241,1.0,0.8492170267098954,0.6093547507715628,0.9041297200713461,1.0,1.0,0.9193218141396923,1.0,0.7484447184350838,0.7368888468995675,0.7222778240696164,0.7027421084224736,0.7003590776652773,1.0,0.6757476721803977,0.78011165243646,1.0,0.8037936154253464,0.7048804871047349,0.8969299032348144,0.7648477586046611,0.702354286055423,0.9938177582185551,0.9972926803762975,0.7466919639292604,1.0,1.0,0.7886828039096243,0.8394277972547108,0.6930648516091775,0.9918374376785655,0.8229189629554452,0.6947091340037033,0.9993470015447559,1.0,0.9434864677585091,0.772351518573775,0.6834228253278369,0.7020030531371191,1.0,0.7606875354047676,0.6343113639358614,0.604382842815088,0.5635678812191314,0.7456183886682181,0.6725547247148818,1.0,0.7302255189414337,1.0,1.0,0.9981070246783267,0.6697569946928323,0.6493760828065791,0.7918065818600212,0.6295952535095226,0.6782743890067311
Kormáks saga according to AM 132 fol (Möðruvallabók),0.7955065347588446,0.7165287088298966,0.7563076594420556,0.8421490171866562,0.778793442710657,0.7978854269209104,4.3520742565306136e-14,0.71063808677592,0.7712789643765533,0.7441167822476882,0.90955192508026,1.0,0.7704958840227014,0.9049127314166918,0.8159881987396105,1.0,0.7684116011670875,0.7191957642415994,1.0,0.8754268215705098,0.7472015988082485,0.9160962608573026,1.0,1.0,0.93080152707763,1.0,0.777390091694847,0.7885983860905792,0.7688520546003558,0.7473994571728113,0.7366243754967186,1.0,0.7399902299324665,0.8212648363559399,1.0,0.8598998355723864,0.7742245729369471,0.9198212607206734,0.8245056198005994,0.7869738502123266,0.9937732788586462,0.9956113827599019,0.7625009309298449,1.0,1.0,0.888915082774241,0.9188670255682775,0.7338621966671716,0.9920372092417211,0.8693802549564013,0.85292815282506,0.9984330946680776,1.0,0.966373765329901,0.8222369003795673,0.7269559225900901,0.7204849985520669,1.0,0.8424844884183308,0.7537665415832854,0.6751942454953663,0.6689360197996344,0.8236456020275894,0.7651761014797704,1.0,0.8063924000324394,1.0,1.0,0.9967774837578469,0.7427100004294785,0.6985372127600005,0.854360190257963,0.6868795499654405,0.7647219016442526
Bandamanna saga according to AM 132 fol (Möðruvallabók),0.6750081144972186,0.5320334294108336,0.5813134298757662,0.7272130622893729,0.5733190713216384,0.6051496015263325,0.71063808677592,0.0,0.5942157847875333,0.5576499617345928,0.8532272233153984,1.0,0.6370375226362106,0.8314133435088216,0.6843136538102075,1.0,0.6364859603912384,0.5051337848466877,1.0,0.8071366133397475,0.5825767234255883,0.8742511493682007,1.0,1.0,0.8911633049489166,1.0,0.6594671266812238,0.6715279116742645,0.6494506573645139,0.616918366945576,0.5938177116756598,1.0,0.569514507477217,0.7205880756316383,1.0,0.7560518534309897,0.626180671072238,0.8722703282788475,0.7210507342470046,0.6478342197141421,0.9901141323421037,0.9929025124755185,0.6568690488975939,1.0,1.0,0.7921002685335384,0.8510740431476183,0.5473229445619023,0.9875920980765073,0.7903408742908977,0.7303244728876042,0.9979520084731902,1.0,0.9382242575005525,0.7151110784037855,0.5782319213000535,0.567589948366321,1.0,0.7286635473329938,0.5922074808130002,0.45095542014430856,0.4551191070972955,0.7084932045166346,0.6216246816335733,1.0,0.6791304164111878,1.0,1.0,0.9949128907291316,0.5872598577225776,0.5291417045626758,0.761023458535968,0.5048836521682546,0.5954362246182257
Þiðriks saga af Bern (medieval text),0.6919302095968971,0.5164596751427255,0.5668185746278731,0.7420467558881849,0.6538672683916719,0.6540035022601631,0.7712789643765533,0.5942157847875333,5.215827769688985e-13,0.6091365028665836,0.7794419136916377,1.0,0.6548077489775177,0.8148315395119397,0.654141260157066,1.0,0.5834363370398801,0.4471170879347395,1.0,0.7676642270693635,0.3443205659642089,0.8584000305184425,1.0,1.0,0.896385789766689,1.0,0.70983536845013,0.6971137162594883,0.6372310765392085,0.6457731923869274,0.5341867882670026,1.0,0.583305397790844,0.7518848205464178,1.0,0.7719029571450702,0.6744774976124459,0.8266841939136866,0.7172802313220075,0.45727108824904783,0.9898253043257913,0.9937292759693964,0.7138399700156086,1.0,1.0,0.818408811891609,0.8694821313508438,0.6269911017450318,0.9866882905820094,0.8185364260028232,0.7780503386644924,0.9986296602729773,1.0,0.9400385969821552,0.6908933078178561,0.6453830185550518,0.6434722391596062,1.0,0.6591014484045357,0.5817165639410593,0.48302051675527924,0.4432687630502645,0.72904020759439,0.6226329130397054,1.0,0.6328344706107709,1.0,1.0,0.9956354105482053,0.3486310384426514,0.5836050900298683,0.7011818032125888,0.5947843484956544,0.6838523256865139
Old Norwegian Homily Book,0.6787690576969282,0.4791350915495943,0.5567337438125228,0.7185417972056907,0.6225048257538972,0.5644616827357665,0.7441167822476882,0.5576499617345928,0.6091365028665836,0.0,0.8713016646290346,1.0,0.6205872432177422,0.8279959050803741,0.6861959199930749,1.0,0.6245950623439398,0.34168491187621164,1.0,0.7957941342411934,0.5202612373556748,0.8506708240263448,1.0,1.0,0.8103214697020238,1.0,0.6312268125624565,0.5855030883588961,0.6327961493318726,0.6341738062722984,0.5655712623181404,1.0,0.5299542637130856,0.6779211355489789,1.0,0.7360386772326888,0.49779168549485,0.8518235309969087,0.6233690657520907,0.5638967207255641,0.9934994358876483,0.9958303415523778,0.6759125851135293,1.0,1.0,0.7280525646869649,0.8023161650364531,0.5788801568895604,0.9917549280554979,0.713530611275374,0.7450210066010843,0.9992480694537256,1.0,0.8833431763517292,0.6529711658783134,0.5936861499068016,0.5714952524181517,1.0,0.6721656191091716,0.5710027808442506,0.48312037134576946,0.41275689903152724,0.6394968820731666,0.4994383792711601,1.0,0.6429265767235735,1.0,1.0,0.9970368508215977,0.5443095952778927,0.4958522426015536,0.7510197507178686,0.5456980235206206,0.615020927600127
The Kringla fragment of Óláfs saga helga,0.8584124399236887,0.7950521026298196,0.795366275231812,0.8947826490069347,0.8579444912648503,0.8893389851648543,0.90955192508026,0.8532272233153984,0.7794419136916377,0.8713016646290346,1.7763568394002505e-15,1.0,0.8505765328207477,0.8981447697912692,0.8697299800399039,1.0,0.7938026544683653,0.8229141255598074,1.0,0.8651510979004124,0.841175405790857,0.9308178654334829,1.0,1.0,0.958910026897942,1.0,0.8763632509397317,0.894446718666359,0.8293697439100209,0.8422780576365583,0.7494387649819345,1.0,0.83231563945142,0.9212040568796621,1.0,0.8989692158829518,0.8972480691744756,0.9544199096569482,0.8742153660195489,0.8585217393117898,0.9947139230110431,0.9955003766062356,0.8881555556878822,1.0,1.0,0.9328402276718614,0.9562937022179987,0.8494306383713375,0.9923134157192985,0.9474466605942204,0.907028140127291,0.9985241492327952,1.0,0.9769319465121653,0.8499281576400051,0.8667433211655319,0.865674074492363,1.0,0.9134839780152935,0.8359991879810761,0.7501690063902973,0.7809696608023873,0.9169812173572691,0.8436552265397397,1.0,0.8158358281137258,1.0,1.0,0.9972236020618994,0.7698634558305409,0.8388306945891786,0.8423151300907089,0.8484195312667107,0.8805164543901669
A fragment of Landslǫg Magnúss Hákonarsonar,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Hallfreðr saga vandraskald,0.6744118718473564,0.5897517715744669,0.6171307245595241,0.7656857504816282,0.6779515647947496,0.702960074450734,0.7704958840227014,0.6370375226362106,0.6548077489775177,0.6205872432177422,0.8505765328207477,1.0,0.0,0.8511252968164956,0.7312842100211978,1.0,0.6293568012045763,0.5770154971433392,1.0,0.8004926590614962,0.6315075037795266,0.8689662122076574,1.0,1.0,0.9028664784403995,1.0,0.6924878765554612,0.7049442710218224,0.6620425726727586,0.13812406683189105,0.5980281112282789,1.0,0.6201273360411845,0.7493781933931467,1.0,0.7951139137197245,0.6808407329673327,0.8871300399693286,0.7358290072875857,0.6839616006263685,0.9919853263206974,0.9944626087982423,0.7200418447901624,1.0,1.0,0.8312557888654475,0.8785061705866173,0.6365434069242634,0.9895827525713989,0.8181260412325411,0.7952610199236371,0.9986460670513754,1.0,0.9460743337261109,0.7374143119192117,0.6589111215658678,0.6571747708749418,1.0,0.7696601053954362,0.6478699954914435,0.5433308372551391,0.543555633371581,0.745655863839766,0.6569495992042902,1.0,0.6970653118830474,1.0,1.0,0.9959863742815401,0.6218624994988173,0.5789401604671112,0.7634165035128995,0.615277561066905,0.6937292687932852
Sveinka þáttr Steinarssonar,0.8688119193359368,0.8038784753841761,0.7772508433959225,0.8896062946621631,0.8495985261211966,0.8753219128644708,0.9049127314166918,0.8314133435088216,0.8148315395119397,0.8279959050803741,0.8981447697912692,1.0,0.8511252968164956,2.9976021664879227e-15,0.8774546017885503,1.0,0.8170389002053903,0.8084659543632209,1.0,0.8685699850290699,0.8506504751888971,0.9364636860806441,1.0,1.0,0.9552189454082696,1.0,0.8615714275131512,0.8917523176273813,0.829065971117848,0.8492284710927092,0.7884442976521012,1.0,0.8164710381671875,0.9099286174576863,1.0,0.8930277644785716,0.8670739057065322,0.9592856777062265,0.8768665070662427,0.851754943768067,0.9940438976900525,0.995018460754174,0.8859622736841494,1.0,1.0,0.9214809085460449,0.9436668002489224,0.8509332686603648,0.9929389026922698,0.9361248290832288,0.9169124067565221,0.999830742861523,1.0,0.9729685593663634,0.866214398068164,0.8539093283088931,0.8544146453834705,1.0,0.9036175701878487,0.8492755594427611,0.7809746274523635,0.7872214579324908,0.9037541752852893,0.8365603810061828,1.0,0.8362461797985665,1.0,1.0,0.996314284024239,0.7972275663791383,0.8263298629412922,0.8629677615272634,0.8348370090599894,0.8687480517376257
